model,metric,mean,std,mean_pm_std
cnn_transformer,accuracy,0.25,0.3535533905932738,0.2500 ± 0.3536
cnn_transformer,balanced_accuracy,0.25,0.3535533905932738,0.2500 ± 0.3536
cnn_transformer,precision,0.25,0.3535533905932738,0.2500 ± 0.3536
cnn_transformer,recall,0.5,0.7071067811865476,0.5000 ± 0.7071
cnn_transformer,f1,0.3333333333333333,0.4714045207910317,0.3333 ± 0.4714
cnn_transformer,roc_auc,0.5,0.7071067811865476,0.5000 ± 0.7071
cnn_transformer,precision_pinkeye,0.25,0.3535533905932738,0.2500 ± 0.3536
cnn_transformer,recall_pinkeye,0.5,0.7071067811865476,0.5000 ± 0.7071
cnn_transformer,f1_pinkeye,0.3333333333333333,0.4714045207910317,0.3333 ± 0.4714
