model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
cnn_transformer_strong,1,0.9240506329113924,0.8662239089184061,0.8666666666666667,0.7647058823529411,0.8125,0.9772296015180265,0.8666666666666667,0.7647058823529411,0.8125,60,2,4,13
cnn_transformer_strong,2,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9857685009487666,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
cnn_transformer_strong,3,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9743833017077799,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
cnn_transformer_strong,4,0.9367088607594937,0.8742884250474383,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9734345351043645,0.9285714285714286,0.7647058823529411,0.8387096774193549,61,1,4,13
cnn_transformer_strong,5,0.9487179487179487,0.9035679845708775,0.9333333333333333,0.8235294117647058,0.875,0.940212150433944,0.9333333333333333,0.8235294117647058,0.875,60,1,3,14
