model,metric,mean,std,mean_pm_std
cnn_transformer_strong,accuracy,0.9416423239208049,0.011216228159871408,0.9416 ± 0.0112
cnn_transformer_strong,balanced_accuracy,0.8988350390394129,0.02767039298962115,0.8988 ± 0.0277
cnn_transformer_strong,precision,0.8986554621848739,0.030217326211112578,0.8987 ± 0.0302
cnn_transformer_strong,recall,0.8235294117647058,0.05882352941176472,0.8235 ± 0.0588
cnn_transformer_strong,f1,0.8581831119544592,0.03129429014698724,0.8582 ± 0.0313
cnn_transformer_strong,roc_auc,0.9702056179425764,0.01745728152951997,0.9702 ± 0.0175
cnn_transformer_strong,precision_pinkeye,0.8986554621848739,0.030217326211112578,0.8987 ± 0.0302
cnn_transformer_strong,recall_pinkeye,0.8235294117647058,0.05882352941176472,0.8235 ± 0.0588
cnn_transformer_strong,f1_pinkeye,0.8581831119544592,0.03129429014698724,0.8582 ± 0.0313
