model,metric,mean,std,mean_pm_std
efficientnet_b0,accuracy,0.5,0.0,0.5000 ± 0.0000
efficientnet_b0,balanced_accuracy,0.5,0.0,0.5000 ± 0.0000
efficientnet_b0,precision,0.25,0.3535533905932738,0.2500 ± 0.3536
efficientnet_b0,recall,0.5,0.7071067811865476,0.5000 ± 0.7071
efficientnet_b0,f1,0.3333333333333333,0.4714045207910317,0.3333 ± 0.4714
efficientnet_b0,roc_auc,0.5,0.0,0.5000 ± 0.0000
efficientnet_b0,precision_pinkeye,0.25,0.3535533905932738,0.2500 ± 0.3536
efficientnet_b0,recall_pinkeye,0.5,0.7071067811865476,0.5000 ± 0.7071
efficientnet_b0,f1_pinkeye,0.3333333333333333,0.4714045207910317,0.3333 ± 0.4714
