model,metric,mean,std,mean_pm_std
efficientnet_b0,accuracy,0.9366114897760467,0.023551905399804174,0.9366 ± 0.0236
efficientnet_b0,balanced_accuracy,0.92976483031076,0.039868071655675255,0.9298 ± 0.0399
efficientnet_b0,precision,0.8248809523809524,0.09029037937515685,0.8249 ± 0.0903
efficientnet_b0,recall,0.9176470588235294,0.09843059135695008,0.9176 ± 0.0984
efficientnet_b0,f1,0.86237667677013,0.04840976874781608,0.8624 ± 0.0484
efficientnet_b0,roc_auc,0.9724297757177963,0.03404201100145686,0.9724 ± 0.0340
efficientnet_b0,precision_pinkeye,0.8248809523809524,0.09029037937515685,0.8249 ± 0.0903
efficientnet_b0,recall_pinkeye,0.9176470588235294,0.09843059135695008,0.9176 ± 0.0984
efficientnet_b0,f1_pinkeye,0.86237667677013,0.04840976874781608,0.8624 ± 0.0484
