model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
efficientnet_b0,1,0.9620253164556962,0.9758064516129032,0.85,1.0,0.918918918918919,0.9886148007590133,0.85,1.0,0.918918918918919,59,3,0,17
efficientnet_b0,2,0.9113924050632911,0.9435483870967742,0.7083333333333334,1.0,0.8292682926829268,0.9905123339658444,0.7083333333333334,1.0,0.8292682926829268,55,7,0,17
efficientnet_b0,3,0.9240506329113924,0.9302656546489563,0.7619047619047619,0.9411764705882353,0.8421052631578947,0.9886148007590132,0.7619047619047619,0.9411764705882353,0.8421052631578947,57,5,1,16
efficientnet_b0,4,0.9240506329113924,0.8662239089184061,0.8666666666666667,0.7647058823529411,0.8125,0.9117647058823529,0.8666666666666667,0.7647058823529411,0.8125,60,2,4,13
efficientnet_b0,5,0.9615384615384616,0.9329797492767599,0.9375,0.8823529411764706,0.9090909090909091,0.982642237222758,0.9375,0.8823529411764706,0.9090909090909091,60,1,2,15
