model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
efficientnet_b0,1,0.9367088607594937,0.8956356736242884,0.875,0.8235294117647058,0.8484848484848485,0.9867172675521821,0.875,0.8235294117647058,0.8484848484848485,60,2,3,14
efficientnet_b0,2,0.8987341772151899,0.9141366223908918,0.6956521739130435,0.9411764705882353,0.8,0.9829222011385199,0.6956521739130435,0.9411764705882353,0.8,55,7,1,16
efficientnet_b0,3,0.9746835443037974,0.9838709677419355,0.8947368421052632,1.0,0.9444444444444444,0.9933586337760911,0.8947368421052632,1.0,0.9444444444444444,60,2,0,17
efficientnet_b0,4,0.9367088607594937,0.8529411764705883,1.0,0.7058823529411765,0.8275862068965517,0.9335863377609107,1.0,0.7058823529411765,0.8275862068965517,62,0,5,12
efficientnet_b0,5,0.9358974358974359,0.8741562198649951,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9710703953712633,0.9285714285714286,0.7647058823529411,0.8387096774193549,60,1,4,13
