model,metric,mean,std,mean_pm_std
efficientnet_b0,accuracy,0.9365465757870821,0.026854608118651837,0.9365 ± 0.0269
efficientnet_b0,balanced_accuracy,0.9041481320185397,0.05012392022459882,0.9041 ± 0.0501
efficientnet_b0,precision,0.8787920889179471,0.11289174452299523,0.8788 ± 0.1129
efficientnet_b0,recall,0.8470588235294118,0.1219790667842807,0.8471 ± 0.1220
efficientnet_b0,f1,0.8518450354490399,0.054851794630512665,0.8518 ± 0.0549
efficientnet_b0,roc_auc,0.9735309671197934,0.02375309447455815,0.9735 ± 0.0238
efficientnet_b0,precision_pinkeye,0.8787920889179471,0.11289174452299523,0.8788 ± 0.1129
efficientnet_b0,recall_pinkeye,0.8470588235294118,0.1219790667842807,0.8471 ± 0.1220
efficientnet_b0,f1_pinkeye,0.8518450354490399,0.054851794630512665,0.8518 ± 0.0549
