model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
cnn_transformer_strong,1,0.9746835443037974,0.9625237191650854,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9943074003795066,0.9411764705882353,0.9411764705882353,0.9411764705882353,61,1,1,16
cnn_transformer_strong,2,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9648956356736244,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
cnn_transformer_strong,3,0.9113924050632911,0.922201138519924,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.9791271347248577,0.7272727272727273,0.9411764705882353,0.8205128205128205,56,6,1,16
cnn_transformer_strong,4,0.9493670886075949,0.9037001897533207,0.9333333333333333,0.8235294117647058,0.875,0.9715370018975332,0.9333333333333333,0.8235294117647058,0.875,61,1,3,14
cnn_transformer_strong,5,0.9487179487179487,0.9035679845708775,0.9333333333333333,0.8235294117647058,0.875,0.9681774349083896,0.9333333333333333,0.8235294117647058,0.875,60,1,3,14
