model,metric,mean,std,mean_pm_std
cnn_transformer_strong,accuracy,0.9467056150600455,0.02262743740839097,0.9467 ± 0.0226
cnn_transformer_strong,balanced_accuracy,0.9234080940678757,0.02406349805917173,0.9234 ± 0.0241
cnn_transformer_strong,precision,0.88349376114082,0.09041788232267339,0.8835 ± 0.0904
cnn_transformer_strong,recall,0.8823529411764705,0.05882352941176472,0.8824 ± 0.0588
cnn_transformer_strong,f1,0.8788084464555052,0.04280689900561027,0.8788 ± 0.0428
cnn_transformer_strong,roc_auc,0.9756089215167822,0.011711030613387297,0.9756 ± 0.0117
cnn_transformer_strong,precision_pinkeye,0.88349376114082,0.09041788232267339,0.8835 ± 0.0904
cnn_transformer_strong,recall_pinkeye,0.8823529411764705,0.05882352941176472,0.8824 ± 0.0588
cnn_transformer_strong,f1_pinkeye,0.8788084464555052,0.04280689900561027,0.8788 ± 0.0428
