epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,40.9531,0.98185,0.7913,1.0437,0.99292,1,0.995,0.60723,1.44572,0.83265,1.31833,0.0011684,0.0011684,0.0011684
44,41.8371,1.01563,0.77407,1.06308,0.99145,0.90909,0.9875,0.577,1.45011,0.83053,1.45956,0.0011486,0.0011486,0.0011486
45,42.6653,0.97796,0.79606,1.07857,0.99102,0.90909,0.90515,0.56547,1.42314,0.80701,1.35354,0.0011288,0.0011288,0.0011288
46,43.5186,0.94147,0.72451,1.01175,1,0.99716,0.995,0.55884,1.50946,0.794,1.46654,0.001109,0.001109,0.001109
47,44.3212,0.99007,0.76754,1.04125,0.98853,1,0.995,0.55793,1.52378,0.73245,1.50159,0.0010892,0.0010892,0.0010892
48,45.1432,1.00505,0.76568,1.06065,0.9901,0.90909,0.98115,0.59381,1.38557,0.73086,1.34141,0.0010694,0.0010694,0.0010694
49,45.9679,0.92308,0.70841,0.97782,0.99281,0.90909,0.97571,0.57249,1.39491,0.71844,1.37693,0.0010496,0.0010496,0.0010496
50,46.8215,0.94686,0.69547,1.00323,0.99569,0.90909,0.971,0.57852,1.36844,0.73029,1.42666,0.0010298,0.0010298,0.0010298
51,47.6282,0.90262,0.70176,1.00555,0.99726,0.90909,0.94804,0.59015,1.31653,0.74277,1.31846,0.00101,0.00101,0.00101
52,48.3895,0.93242,0.67633,1.02217,0.99209,0.90909,0.94167,0.52799,1.44343,0.71405,1.36642,0.0009902,0.0009902,0.0009902
53,49.1239,0.91563,0.69496,1.012,0.99205,0.90909,0.96687,0.58409,1.43831,0.7033,1.40919,0.0009704,0.0009704,0.0009704
54,49.942,0.93694,0.70516,1.02315,0.99282,0.90909,0.98115,0.5651,1.47324,0.72711,1.39971,0.0009506,0.0009506,0.0009506
55,50.7095,0.91328,0.66676,1.02192,0.99297,0.90909,0.98115,0.54907,1.49285,0.73107,1.36826,0.0009308,0.0009308,0.0009308
56,51.5624,0.89695,0.63916,1.00793,0.99284,0.90909,0.971,0.51363,1.51327,0.77902,1.56002,0.000911,0.000911,0.000911
57,52.4071,0.93942,0.65386,1.02862,0.99364,0.90909,0.971,0.52424,1.53787,0.7754,1.58079,0.0008912,0.0008912,0.0008912
58,53.2195,0.84702,0.6628,0.993,0.99387,0.90909,0.98115,0.53966,1.50201,0.80096,1.40043,0.0008714,0.0008714,0.0008714
59,53.989,0.94308,0.65435,1.01425,0.99165,0.90909,0.9875,0.54646,1.51808,0.79132,1.39283,0.0008516,0.0008516,0.0008516
60,54.8437,0.91601,0.6632,1.02632,1,0.99362,0.995,0.55837,1.49397,0.70666,1.38242,0.0008318,0.0008318,0.0008318
61,55.6265,0.87509,0.63694,0.97671,1,0.9947,0.995,0.58532,1.4122,0.66526,1.32054,0.000812,0.000812,0.000812
62,56.4718,0.88333,0.64229,1.00764,1,0.99545,0.995,0.61794,1.28314,0.61618,1.23618,0.0007922,0.0007922,0.0007922
63,57.3336,0.82692,0.60593,0.9652,0.99256,0.90909,0.9875,0.60011,1.28407,0.59281,1.23256,0.0007724,0.0007724,0.0007724
64,58.1884,0.76455,0.59219,0.97308,0.99117,0.90909,0.9875,0.60118,1.37696,0.62344,1.22089,0.0007526,0.0007526,0.0007526
65,58.9897,0.82585,0.593,1.00133,0.9914,0.90909,0.9875,0.61836,1.43326,0.66317,1.22965,0.0007328,0.0007328,0.0007328
66,59.8414,0.79278,0.59785,0.9496,1,0.99281,0.995,0.55738,1.48598,0.66984,1.30654,0.000713,0.000713,0.000713
67,60.5962,0.82879,0.61123,0.97166,0.9941,0.90909,0.9875,0.53146,1.49436,0.69038,1.3809,0.0006932,0.0006932,0.0006932
68,61.3688,0.8747,0.61465,1.01222,0.9953,0.90909,0.98115,0.55313,1.49369,0.73759,1.35548,0.0006734,0.0006734,0.0006734
69,62.2008,0.84028,0.6028,0.99559,0.99565,0.90909,0.96,0.53974,1.43883,0.73738,1.26299,0.0006536,0.0006536,0.0006536
70,63.0459,0.83361,0.59348,0.98954,0.99512,0.90909,0.9545,0.55831,1.37465,0.74174,1.18993,0.0006338,0.0006338,0.0006338
71,63.7968,0.79108,0.56412,0.96416,0.99421,0.90909,0.98115,0.58469,1.33697,0.66786,1.18247,0.000614,0.000614,0.000614
72,64.5488,0.77686,0.58371,0.97521,1,0.9978,0.995,0.61544,1.27265,0.57421,1.19779,0.0005942,0.0005942,0.0005942
73,65.273,0.77235,0.54662,0.9409,1,0.9995,0.995,0.61354,1.24559,0.5711,1.18738,0.0005744,0.0005744,0.0005744
74,66.0388,0.83197,0.60677,0.97489,1,0.99881,0.995,0.63118,1.22815,0.56443,1.17973,0.0005546,0.0005546,0.0005546
75,66.8025,0.81609,0.61204,0.96975,1,0.99481,0.995,0.61966,1.24091,0.56891,1.17385,0.0005348,0.0005348,0.0005348
76,67.5584,0.74351,0.54786,0.92276,1,0.99524,0.995,0.61634,1.23034,0.5657,1.1754,0.000515,0.000515,0.000515
77,68.2972,0.71356,0.54044,0.90977,1,0.99774,0.995,0.6169,1.25269,0.53859,1.19641,0.0004952,0.0004952,0.0004952
78,69.0558,0.7238,0.5717,0.94799,0.9994,1,0.995,0.6108,1.34472,0.54436,1.26639,0.0004754,0.0004754,0.0004754
79,69.7871,0.70073,0.54876,0.93792,1,0.99589,0.995,0.58859,1.38223,0.54573,1.28618,0.0004556,0.0004556,0.0004556
80,70.5468,0.77434,0.58082,0.95835,1,0.9977,0.995,0.60188,1.35524,0.55255,1.25482,0.0004358,0.0004358,0.0004358
81,71.3301,0.73761,0.53077,0.9443,1,0.99745,0.995,0.60552,1.34832,0.53468,1.26029,0.000416,0.000416,0.000416
82,72.1741,0.69559,0.5199,0.94994,1,0.99689,0.995,0.57506,1.39335,0.54315,1.33904,0.0003962,0.0003962,0.0003962
83,72.9978,0.80243,0.55972,0.96193,1,0.99865,0.995,0.57383,1.41605,0.54293,1.36921,0.0003764,0.0003764,0.0003764
84,73.8562,0.72326,0.52577,0.93882,1,0.99918,0.995,0.54711,1.44634,0.55622,1.30669,0.0003566,0.0003566,0.0003566
85,74.6407,0.79106,0.53255,0.95769,1,0.99752,0.995,0.58528,1.42563,0.55459,1.26031,0.0003368,0.0003368,0.0003368
86,75.4084,0.71456,0.52189,0.9398,1,0.99562,0.995,0.59173,1.40059,0.54944,1.24596,0.000317,0.000317,0.000317
87,76.1436,0.64524,0.50198,0.91137,1,0.99488,0.995,0.59511,1.40037,0.55031,1.27628,0.0002972,0.0002972,0.0002972
88,76.9059,0.67664,0.48008,0.89625,1,0.99094,0.995,0.59172,1.39747,0.54011,1.28037,0.0002774,0.0002774,0.0002774
89,77.647,0.72119,0.52558,0.95229,0.90589,1,0.9875,0.58333,1.39248,0.54005,1.26827,0.0002576,0.0002576,0.0002576
90,78.3943,0.66208,0.50526,0.91632,0.90978,1,0.9875,0.60382,1.39184,0.55197,1.28028,0.0002378,0.0002378,0.0002378
91,81.349,0.57323,0.48336,0.88776,0.9113,1,0.9875,0.60656,1.39106,0.56296,1.30174,0.000218,0.000218,0.000218
92,82.5284,0.60686,0.48637,0.88331,0.99159,0.90909,0.98115,0.56806,1.41732,0.56799,1.3202,0.0001982,0.0001982,0.0001982
93,83.6149,0.62945,0.48251,0.89461,0.99226,0.90909,0.98115,0.59013,1.41719,0.57727,1.30949,0.0001784,0.0001784,0.0001784
94,84.6198,0.63438,0.49849,0.87517,0.99253,0.90909,0.98115,0.57873,1.42894,0.58722,1.30035,0.0001586,0.0001586,0.0001586
95,85.4386,0.61759,0.47495,0.89924,0.992,0.90909,0.98115,0.57321,1.44193,0.60271,1.31056,0.0001388,0.0001388,0.0001388
96,86.1972,0.58855,0.46759,0.8769,0.91544,0.9853,0.9875,0.57718,1.44152,0.59311,1.32519,0.000119,0.000119,0.000119
97,86.9653,0.58095,0.46796,0.87457,0.91566,0.98795,0.9875,0.57718,1.4421,0.59397,1.33694,9.92e-05,9.92e-05,9.92e-05
98,87.7878,0.5598,0.4502,0.85235,0.91595,0.99146,0.9875,0.56367,1.43523,0.59433,1.33919,7.94e-05,7.94e-05,7.94e-05
99,88.5323,0.56852,0.46611,0.86266,0.9162,0.99443,0.9875,0.56663,1.4244,0.58907,1.33483,5.96e-05,5.96e-05,5.96e-05
100,89.3011,0.52832,0.44185,0.86141,0.91645,0.99746,0.9875,0.56849,1.40881,0.59001,1.33042,3.98e-05,3.98e-05,3.98e-05
