model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
resnet18,1,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9905123339658444,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
resnet18,2,0.9746835443037974,0.9625237191650854,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9791271347248578,0.9411764705882353,0.9411764705882353,0.9411764705882353,61,1,1,16
resnet18,3,0.9620253164556962,0.9758064516129032,0.85,1.0,0.918918918918919,0.9990512333965844,0.85,1.0,0.918918918918919,59,3,0,17
resnet18,4,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9639468690702088,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
resnet18,5,0.9358974358974359,0.9378013500482161,0.8,0.9411764705882353,0.8648648648648649,0.9884281581485053,0.8,0.9411764705882353,0.8648648648648649,57,4,1,16
