model,metric,mean,std,mean_pm_std
resnet18,accuracy,0.954268094774424,0.014684055112332303,0.9543 ± 0.0147
resnet18,balanced_accuracy,0.9452452794973091,0.022933858047115206,0.9452 ± 0.0229
resnet18,precision,0.8711764705882352,0.05163419376147866,0.8712 ± 0.0516
resnet18,recall,0.9294117647058823,0.049215295678475046,0.9294 ± 0.0492
resnet18,f1,0.897933227344992,0.031182465298358837,0.8979 ± 0.0312
resnet18,roc_auc,0.9842131458612002,0.013362301685297565,0.9842 ± 0.0134
resnet18,precision_pinkeye,0.8711764705882352,0.05163419376147866,0.8712 ± 0.0516
resnet18,recall_pinkeye,0.9294117647058823,0.049215295678475046,0.9294 ± 0.0492
resnet18,f1_pinkeye,0.897933227344992,0.031182465298358837,0.8979 ± 0.0312
