model,metric,mean,std,mean_pm_std
resnet18,accuracy,0.9594287568971114,0.010474611855309934,0.9594 ± 0.0105
resnet18,balanced_accuracy,0.9442545183065294,0.034211948530773424,0.9443 ± 0.0342
resnet18,precision,0.8995846233230134,0.036591043775554666,0.8996 ± 0.0366
resnet18,recall,0.9176470588235294,0.07892004626469847,0.9176 ± 0.0789
resnet18,f1,0.9059614427261486,0.028171809718983566,0.9060 ± 0.0282
resnet18,roc_auc,0.9819703238249293,0.02175661696624491,0.9820 ± 0.0218
resnet18,precision_pinkeye,0.8995846233230134,0.036591043775554666,0.8996 ± 0.0366
resnet18,recall_pinkeye,0.9176470588235294,0.07892004626469847,0.9176 ± 0.0789
resnet18,f1_pinkeye,0.9059614427261486,0.028171809718983566,0.9060 ± 0.0282
