model,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,precision_pinkeye,recall_pinkeye,f1_pinkeye,tn,fp,fn,tp
resnet18,1,0.9620253164556962,0.933111954459203,0.9375,0.8823529411764706,0.9090909090909091,0.9971537001897534,0.9375,0.8823529411764706,0.9090909090909091,61,1,2,15
resnet18,2,0.9493670886075949,0.9250474383301708,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9781783681214422,0.8823529411764706,0.8823529411764706,0.8823529411764706,60,2,2,15
resnet18,3,0.9620253164556962,0.9758064516129032,0.85,1.0,0.918918918918919,0.9895635673624289,0.85,1.0,0.918918918918919,59,3,0,17
resnet18,4,0.9493670886075949,0.9037001897533207,0.9333333333333333,0.8235294117647058,0.875,0.945920303605313,0.9333333333333333,0.8235294117647058,0.875,61,1,3,14
resnet18,5,0.9743589743589743,0.9836065573770492,0.8947368421052632,1.0,0.9444444444444444,0.9990356798457087,0.8947368421052632,1.0,0.9444444444444444,59,2,0,17
